PlantID	Rank	PlantNum	Treatment	SampleID	Truss	DevStage	FruitAge	HarvestDate	HarvestHour	FruitPosition	FruitDiameter	FruitHeight	FruitFW	DW	AliquotID	PGM	F16BP_Cyt	PyrK	CitS	PPI	AcoS	PFK	FruS	F16BP_Stroma	GluS	ISODH_NAD	EnoS	ISODH_NADP	PEPC	FBPA	SucCoALig	MALDH	AlaS	FumS	AspS	GLUDH_NADP	GAPDH_NAD	GAPDH_NADP	GLUDH_NAD	TPI	PhoS	NI	AciS	G6PDH	UGPS	SucS	MAL_NAD	ShiS	MAL_NADP	PGI_tot	SolStarchS	AGPS	SucPhosphateS	PoolID	glucose	saccharose	fructose	galactose	mannose	rhamnose	acetate	chlorogenate	citrate	fumarate	galacturonate	malate	quinate	alanine	asparagine	aspartate	GABA	glutamine	glutamate	isoleucine	phenylalanine	tryptophane	tyrosine	valine	pyroglutamate	trigonelline	choline	inositol
F37	F	451	WaterStress	384	T7	FF.04	34DPA	40428	0.65625	5	46.39	40.19	47.38		1081	1912.03	10	352.71	51.31	828.31	168.56	68.03	121.64	104.95	99.27	98.09	410.85	80.84	428.81	1962.34	NA	20481.18	1388.82	262.06	NA	4.57	1691.67	160.35	119.99	69922.96	5720.43	47.54	380.1770194	110.23	3268.76	51.56	994.96	131.05	164.48	458.82	39.91	375.46	NA	F39	842.9905593	29.22859254	993.1715683	0	3.804410274	6.223858429	4.035700886	2.003226201	95.15438244	0.15614645	0	167.569543	0.277292905	2.299082633	3.687125605	6.793306647	17.24830355	19.75620757	19.47832261	3.64603015	5.38411745	0	1.40873178	2.186134593	22.36017168	1.107312236	5.239243728	66.05760275
F37	F	451	WaterStress	394	T7	FF.04	40DPA	40428	0.697916667	3	52.53	42.55	65.77		1101	1526.41	6.73	242.83	17.83	706.84	142.23	65.17	105.09	96.25	40.07	122.98	366.88	24.2	258.5	2322.56	162.48	18528.11	787.79	NA	2075.88	4.42	1806.34	1172.31	74.41	49888.06	3585.9	209.36	390.1377417	121.2	3363.83	2.01	1185.93	64.13	241.82	622.31	70.19	483.64	628.38	F41	878.2808745	21.25105975	993.0326319	0	2.811365107	5.263678798	3.528388208	2.124906641	89.24558058	0.13990796	0	150.1024284	0.675936306	2.091684211	7.666365665	10.73546514	23.83530802	24.40998337	14.81616279	3.046995193	4.399361679	0.088454721	1.615108448	2.323410662	18.73944403	1.035044815	4.922456754	51.92873223
F37	F	451	WaterStress	422	T7	FR.03	50DPA	40435	0.527777778	1	56.73	50.74	104.83		1157	937.69	19.37	331.69	25.31	492.4	112.53	69.69	83.66	65.34	22.55	294.92	267.23	19.2	167.27	2146.13	333.33	8879.42	2239.79	NA	NA	6.76	662.35	850.79	78.26	3561.05	4021.01	285	2471.643423	134.35	3543.13	NA	415.9	131.78	32.8	148.97	15.76	227.95	131.2	F47	1004.700299	36.87198277	1138.122267	3.516682807	3.320166626	4.914102004	3.184124927	1.458319341	177.0328169	0.06167848	2.3080266	121.6981537	0.400228619	1.803105876	11.67890992	26.35931446	23.08179839	80.36032577	72.58933908	1.944936583	4.643976653	0.409402085	0.921729335	0.867670212	17.71053498	0.862477131	7.074367001	39.60486848
F38	F	452	WaterStress	100	T5	FF.02	15DPA	40386	0.483333333	7	28.36	24.56	10.88		367	4.11	4.87	507.67	7.39	1371.13	573.06	128.65	390.78	283.25	304.36	301.7	NA	168.46	830.04	5437.72	670.62	46850.48	2104.61	277.04	7843.68	6.97	3479.22	1818.97	70.4	153681.15	13716.99	162.75	668.1575185	270.47	3719.26	698.83	1562.79	203.58	323.16	452.27	147.3	778.68	77.36	F29	445.2151592	43.31369381	541.6804602	0	3.979800761	5.251411137	5.904039155	3.950961625	113.3037106	0.096171186	0	125.5880827	3.619004964	3.44595088	1.861367035	5.005080846	7.493898357	15.62607121	12.58474988	2.27666241	3.177192944	0	0.508106472	1.902242442	10.62184481	1.081956397	4.896054327	53.5228455
F38	F	452	WaterStress	108	T6	FF.02	15DPA	40388	0.525	2	31.72	29.54	17.02		384	4011.16	4.85	590.28	13.75	1245.94	378.87	109.77	344.62	193.74	165.72	196.86	609.81	NA	1137.86	6047.19	356.14	44616.84	1485.8	47.05	8620.45	6.38	4245.99	936.97	81.18	155518.64	16293.49	55.27	-1115.253674	239.16	3493.62	1064.08	791.93	246.1	172.36	534.59	128.41	677.29	71.42	F30	515.3940423	37.81550939	605.3323732	0	4.002406501	5.625570978	4.035448017	4.328607183	101.9641377	0.09368787	0	106.9753641	4.165863936	3.317047912	2.103530291	4.288605136	8.65936375	14.00382187	11.96739459	3.043191061	2.967775968	0	0.585138277	2.698362382	8.738385233	0.896419702	4.823021773	50.65431193
F38	F	452	WaterStress	189	T6	FR.01	42DPA	40421	0.497222222	5	55.03	46.65	82.27		543	1478.72	0.86	194.25	6.71	568.42	221.37	70.78	77.58	109.48	182.69	75.68	257.09	20.12	521.79	3376.6	183.81	14675.29	1195.12	441.27	2450.09	6.02	3245.11	499.5	59.33	58545.73	6509.88	220.7	-195.431254	130.19	3310.81	1777.3	1246.53	86.03	76.81	548.81	52.49	492.34	24.86	F43	828.0978545	34.45918253	959.5543091	0	3.165410954	5.591939434	4.45807598	1.942537702	128.6913527	0.151847682	0	181.7188136	0.228328003	2.875791951	9.711848171	14.04722469	24.74029874	40.8599598	18.57982882	4.313603637	6.02074462	0.291304795	2.073776581	2.804145807	25.80828989	1.156368772	5.699324362	57.05659343
F38	F	452	WaterStress	364	T6	FR.03	50DPA	40423	0.527777778	3	62.44	52.9	132.6		1041	639.84	8.15	281.12	NA	422.83	99.44	44.25	60.38	22.89	20.6	233.42	152.77	29.07	240.77	2895.32	12.27	9357.9	2597.42	94.36	1730.69	9.21	2001.24	863.64	32.29	36323.55	6362.81	192.21	2208.709072	121.68	2350.35	NA	284.87	63.91	21.49	350.84	39.76	NA	81.7	F46	951.328424	42.19681296	1172.930233	3.405133972	3.945890337	5.775174449	3.817454897	1.285336695	187.6466332	0.032293041	1.455765367	143.8945973	0.622427646	2.38338194	14.13748658	26.86079171	26.74084794	103.3884477	83.00870365	2.541204456	6.06077754	0.519144397	1.377427116	0.969773521	23.04249665	0.985735861	7.953965583	47.27867101
F38	F	452	WaterStress	426	T7	FR.04	55DPA	40435	0.555555556	3	64.12	53.54	125.21		1165	NA	8.44	307.36	130.89	348.08	103.8	50.13	32.78	21.71	13.91	273.77	NA	39.26	150.6	1589.11	97.23	7343.52	2788.99	213.58	NA	14.17	1125.97	600.93	11.43	16372.33	5281.44	131.78	3646.407433	141.13	2972.58	141.66	533.42	79.5	37.85	215.15	32.86	207.29	129.77	F50	1063.478936	39.26754401	1229.693222	4.942907116	3.630669515	5.612704567	3.204755504	0.960193698	188.3537195	0.021765397	2.693876764	80.13994006	0.4310887	3.262796563	8.739224892	27.64051287	25.48476364	101.5626453	91.90050326	2.330700776	5.752463219	0.538976651	0.925721335	0.989298102	17.02582452	0.768708529	7.514024525	40.52505967
F39	F	453	WaterStress	193	T6	FR.01	42DPA	40421	0.497222222	4	51.14	45.04	63.15		551	1802.77	9.59	184.23	NA	700.53	193.17	68.75	74.87	117.53	138.95	104.05	368.84	6.08	641.93	4090.84	232.18	37494.62	1389.1	591.48	3000.23	3.05	2386.72	1462.12	39.47	70008.96	7820.35	93.14	780.2268997	128.03	3084.83	235.57	209.38	69.34	149.75	373.36	3.25	535.29	15.8	F43	828.0978545	34.45918253	959.5543091	0	3.165410954	5.591939434	4.45807598	1.942537702	128.6913527	0.151847682	0	181.7188136	0.228328003	2.875791951	9.711848171	14.04722469	24.74029874	40.8599598	18.57982882	4.313603637	6.02074462	0.291304795	2.073776581	2.804145807	25.80828989	1.156368772	5.699324362	57.05659343
F39	F	453	WaterStress	358	T5	FR.04	55DPA	40423	0.520833333	4	49.74	41.72	58.82		1029	525.62	9.93	275.79	129.95	267.41	111.25	37.09	38.67	24.1	6.19	174.2	241.97	99.79	148.91	2199.96	307.6	8234.89	1898.88	101.84	NA	12.45	1612.88	507.76	NA	22519.84	4838.16	129.11	2538.859199	112.18	2918.34	235.04	144.45	81.71	33.22	458.29	48.97	347.64	142.69	F48	910.5446801	44.57836995	1137.260986	4.015975624	3.663450823	5.337806345	3.714530309	0.563877469	191.5802497	0.024788574	1.845872426	134.3150122	0.38424247	2.238399918	12.29606909	27.79204237	25.79451474	108.5043054	89.19014864	2.254341392	5.665244455	0.442688884	1.282996515	0.906327034	24.73223669	0.822279578	7.893728148	44.80574458
