SampleID	Stage	Glucose	Fructose	Sucrose	Citrate	Malate	Total_AA	Proteins	Starch	Sorbitol
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
6011	S01	20.78837866	22.99219763	41.47887771	1.883484142	55.56043689	68.06313032	12.81255957	31.07129106	38.25948387
